"Province","District","Chiefdom","Household.Total","Household.Male","Household.Female","Special.Population.Total","Special.Population.Male","Special.Population.Female","Total","Male","Female"
"Eastern","Kailahun","Total","4930532","2391998","2538534","46339","28220","18119","4976871","2420218","2556653"
"Eastern","Kailahun","Dea","9876","4722","5154","","","","9876","4722","5154"
"Eastern","Kailahun","Jawie","42635","20921","21714","4","4","","42639","20925","21714"
"Eastern","Kailahun","Kissi Kama","12967","6061","6906","5","5","","12972","6066","6906"
"Eastern","Kailahun","Kissi Teng","30455","14711","15744","","","","30455","14711","15744"
"Eastern","Kailahun","Kissi Tongi","33457","15780","17677","","","","33457","15780","17677"
"Eastern","Kailahun","Kpeje Bongre","12700","5962","6738","","","","12700","5962","6738"
"Eastern","Kailahun","Kpeje West","13010","6332","6678","","","","13010","6332","6678"
"Eastern","Kailahun","Luawa","65430","30993","34437","70","24","46","65500","31017","34483"
"Eastern","Kailahun","Malema","23298","12635","10663","","","","23298","12635","10663"
"Eastern","Kailahun","Mandu","19708","9414","10294","","","","19708","9414","10294"
"Eastern","Kailahun","Njaluahun","36548","17866","18682","936","479","457","37484","18345","19139"
"Eastern","Kailahun","Penguia","12518","5981","6537","","","","12518","5981","6537"
"Eastern","Kailahun","Upper Bambara","28438","13610","14828","","","","28438","13610","14828"
"Eastern","Kailahun","Yawei","16135","7722","8413","","","","16135","7722","8413"
"Eastern","Kailahun","Total","357175","172710","184465","1015","512","503","358190","173222","184968"
"Eastern","Kenema","Dama","26157","12407","13750","","","","26157","12407","13750"
"Eastern","Kenema","Dodo","14194","7010","7184","","","","14194","7010","7184"
"Eastern","Kenema","Gaura","17361","8428","8933","","","","17361","8428","8933"
"Eastern","Kenema","Gorama Mende","32539","16549","15990","","","","32539","16549","15990"
"Eastern","Kenema","Kandu Lekpeama","21743","11885","9858","","","","21743","11885","9858"
"Eastern","Kenema","Koya-Kenema","10184","4811","5373","","","","10184","4811","5373"
"Eastern","Kenema","Langrama","4356","2133","2223","","","","4356","2133","2223"
"Eastern","Kenema","Lower Bambara","77316","43167","34149","1073","661","412","78389","43828","34561"
"Eastern","Kenema","Malegohun","12224","6150","6074","","","","12224","6150","6074"
"Eastern","Kenema","Niawa","8496","4035","4461","","","","8496","4035","4461"
"Eastern","Kenema","Nomo","4105","2113","1992","","","","4105","2113","1992"
"Eastern","Kenema","Nongowa","47614","23894","23720","3872","1936","1936","51486","25830","25656"
"Eastern","Kenema","Simbaru","18375","9354","9021","","","","18375","9354","9021"
