Province,District,Chiefdom,Household Total,Household Male,Household Female,Special Population Total,Special Population Male,Special Population Female,Total,Male,Female
Eastern,Kailahun,Total...........,"4,930,532","2,391,998","2,538,534","46,339","28,220","18,119","4,976,871","2,420,218","2,556,653"
Eastern,Kailahun,Dea.................,"9,876","4,722","5,154",-,-,-,"9,876","4,722","5,154"
Eastern,Kailahun,Jawie...............,"42,635","20,921","21,714",4,4,-,"42,639","20,925","21,714"
Eastern,Kailahun,Kissi Kama..........,"12,967","6,061","6,906",5,5,-,"12,972","6,066","6,906"
Eastern,Kailahun,Kissi Teng..........,"30,455","14,711","15,744",-,-,-,"30,455","14,711","15,744"
Eastern,Kailahun,Kissi Tongi.........,"33,457","15,780","17,677",-,-,-,"33,457","15,780","17,677"
Eastern,Kailahun,Kpeje Bongre........,"12,700","5,962","6,738",-,-,-,"12,700","5,962","6,738"
Eastern,Kailahun,Kpeje West..........,"13,010","6,332","6,678",-,-,-,"13,010","6,332","6,678"
Eastern,Kailahun,Luawa...............,"65,430","30,993","34,437",70,24,46,"65,500","31,017","34,483"
Eastern,Kailahun,Malema..............,"23,298","12,635","10,663",-,-,-,"23,298","12,635","10,663"
Eastern,Kailahun,Mandu...............,"19,708","9,414","10,294",-,-,-,"19,708","9,414","10,294"
Eastern,Kailahun,Njaluahun...........,"36,548","17,866","18,682",936,479,457,"37,484","18,345","19,139"
Eastern,Kailahun,Penguia.............,"12,518","5,981","6,537",-,-,-,"12,518","5,981","6,537"
Eastern,Kailahun,Upper Bambara.......,"28,438","13,610","14,828",-,-,-,"28,438","13,610","14,828"
Eastern,Kailahun,Yawei...............,"16,135","7,722","8,413",-,-,-,"16,135","7,722","8,413"
Eastern,Kailahun,Total...........,"357,175","172,710","184,465","1,015",512,503,"358,190","173,222","184,968"
Eastern,Kenema,Dama................,"26,157","12,407","13,750",-,-,-,"26,157","12,407","13,750"
Eastern,Kenema,Dodo................,"14,194","7,010","7,184",-,-,-,"14,194","7,010","7,184"
Eastern,Kenema,Gaura...............,"17,361","8,428","8,933",-,-,-,"17,361","8,428","8,933"
Eastern,Kenema,Gorama Mende........,"32,539","16,549","15,990",-,-,-,"32,539","16,549","15,990"
Eastern,Kenema,Kandu Lekpeama......,"21,743","11,885","9,858",-,-,-,"21,743","11,885","9,858"
Eastern,Kenema,Koya-Kenema.........,"10,184","4,811","5,373",-,-,-,"10,184","4,811","5,373"
Eastern,Kenema,Langrama............,"4,356","2,133","2,223",-,-,-,"4,356","2,133","2,223"
