the_geom,objectid,iso3,adm0_name,engtype0,adm1_name,type1,engtype1,adm2_name,type2,engtype2,adm3_name,type3,engtype3,source_dt,source,source2_dt,source2,globalid,shapestlen,shapestare,chiefdom,district,female,household_female,household_male,household_total,male,province,special_population_female,special_population_male,special_population_total,total,cartodb_id,created_at,updated_at,merge_var,percent_pop_1985,percent_pop_2004,intercensal_change_1985_2004,population_2005,population_2006,population_2007,population_2008,population_2009,population_2010,population_2011,population_2012,population_2013,population_2014,population_2004,chiefdom_weight,total_estimated_2015
"0106000020E61000000100000001030000000100000095000000E21934F44FE026C0DB4944F817792040F10C1AFA27E026C0BC378600E0782040D87745F0BFDD26C0FF52060E68792040F9AE08FEB7DA26C0FF52060E68792040E11934F44FD826C0BC378600E07820402263B5F97FD526C034289A07B0782040",117,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Komboya","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{0767CC28-C148-4302-9AF1-06327B571D49}",.7125127,.0202681,"Komboya","Bo",8072,8072,7544,15616,7544,"Southern",,,,15616,112,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0497783,20069.71
"0106000020E61000000100000001030000000100000000010000729F1C05881227C0EE3A1BF2CF642040B5679604A81127C0CB2A6C06B8602040A674B0FECF1127C08590F3FE3F5E2040B5679604A81127C0F15F200890592040E16C3A02B81127C004A4FD0FB05620400F72DEFFC71127C0C1887D0228562040",119,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Niawa Lenga","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{3993AAA4-0F48-4526-B647-25C988F63394}",.8561262,.0197283,"Niawa Lenga","Bo",5895,5895,5214,11109,5214,"Southern",,,,11109,123,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0354116,14277.31
"0106000020E6100000010000000103000000010000005D0100003C247CEF6F7027C08311FB045024204031A9A10DC06E27C02807B3093024204074711B0DE06D27C02807B3093024204074711B0DE06D27C0A0F7C6100024204038799109F86D27C01E65C405A0212040DD1B4300706C27C0C8AB730CC81E2040",116,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Kakua","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{EAC3DC14-941B-4A45-BF49-BFDA4D0D055B}",.8676671,.0294433,"Kakua","Bo",15244,15206,13968,29174,14526,"Southern",38,558,596,29770,121,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0948963,38260.46
"0106000020E6100000010000000103000000010000008A010000FB2D01F8A70428C042C879FF1F072040E21934F44F0028C0E7BD310400072040CF7B630800FE27C0E7BD3104000720400A74ED0BE8FD27C0E7BD3104000720407BEE04FBAFFB27C023B6BB07E80620401416DC0F78F827C0769D0DF967062040",113,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Bumpe","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{D123DBFC-2D4F-4539-BFA8-30B39BDD8059}",1.233544,.0772837,"Bumpe","Bo",18513,18513,17129,35642,17129,"Southern",,,,35642,117,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.1136141,45807.17
"0106000020E6100000010000000103000000010000001A0100003D7782FDD7C927C0816BEEE87F091F40888EE4F21FCA27C0B33BA41820011F40602D3E05C0C827C0007FF8F9EF011F408BB3E908E0C627C0007FF8F9EF011F409283D90418C627C0007FF8F9EF011F40DD6E490ED8C527C0590A48FB1F001F40",118,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Lugbu","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{37B6D1A4-7A1E-41BD-9294-D4122731B011}",.7951599,.02079,"Lugbu","Bo",11455,11455,12184,23639,12184,"Southern",,,,23639,122,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0753528,30380.89
"0106000020E610000001000000010300000001000000A20100009DD2C1FA3F8F27C00BC7F31950EF1F40578B4F01308E27C082EAE6E26FEB1F408EDFDBF4678F27C0BDB67EFACFEA1F40AAC5A700188F27C0AE7092E68FE91F400CA0DFF76F8E27C002A4FD0FB0E61F4039799109F88D27C0E33E390A10E51F40",121,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Tikonko","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{64082957-7C8C-47D5-BE7E-4AF0993605F6}",1.171259,.0416185,"Tikonko","Bo",19481,17917,18306,36223,19918,"Southern",1564,1612,3176,39399,124,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.1255901,50635.68
"0106000020E6100000010000000103000000010000005D010000CB565EF23FB126C0CB2A6C06B8202040F82F1004C8B026C052E751F17F1F2040BCE47FF277AF26C06FCD1DFD2F1F2040E6BD310400AF26C0ABC5A700181F2040667E350708AE26C08590F3FE3F1E2040F3311F10E8AC26C08590F3FE3F1E2040",112,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Boama","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{AC1BC42F-0FF5-4ADE-83E8-2011F392884A}",1.195309,.0325967,"Boama","Bo",24631,21242,22969,44211,26306,"Southern",3389,3337,6726,50937,116,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.1623692,65464.34
"0106000020E6100000010000000103000000010000000201000010C5E40D307B27C0AF169F02609C1E400351F701487D27C03F49810530951E409383D904187E27C0E21934F44F901E409383D904187E27C0ED3A1BF2CF8C1E40E11934F44F8027C0806BEEE87F891E40CA2A6C06B88027C02209C21550881E40",108,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Bagbo","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{A3A59A89-AD66-42B9-91D2-3FBE5299F4C2}",.9047567,.0225922,"Bagbo","Bo",12779,11294,10593,21887,12055,"Southern",1485,1462,2947,24834,109,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.079162,31916.71
"0106000020E610000001000000010300000001000000520100002986AB03202E27C07EC0030308F720402986AB03202E27C0C0DB831090EF20405BDC4603782B27C00B21E7FD7FEC20405FAE450BD02627C0017FF8F9EFE920406DFB1EF5D72327C0A621AAF067E82040F72F1004C82027C0B86587F887E52040",122,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Valunia","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{A30E30AE-3719-44F0-AA65-438F739B8A77}",1.352142,.0676112,"Valunia","Bo",9050,9050,8691,17741,8691,"Southern",,,,17741,118,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.056552,22800.77
"0106000020E610000001000000010300000001000000B700000049EB6F09C0D726C023B6BB07E84E20401C93C5FD47D626C0FFACF9F1974E204019C1C6F5EFD226C0ABC5A700184F2040A574B0FECFD126C08EDFDBF4674F20401E12BEF737D026C0ABC5A700184F204014C3D50110CF26C023B6BB07E84E2040",107,"SLE","Sierra Leone","Country","Southern","Province","Region","Bo","District",999999,"Badjia","Chiefdom",999999,"January 2012","OHDR","December 2014","DigitalGlobe","{229458E1-D270-4EA4-85CE-0AA73F841383}",.6250754,.0157752,"Badjia","Bo",3985,3983,3705,7688,3713,"Southern",2,8,10,7698,23,"2015-02-21 19:50:43.310535+00","2015-02-21 19:50:43.310535+00","Bo",5.94,6.3,.0028,323513,331295,339325,347610,356151,364975,374078,383452,393145,403182,313711,.0245385,9893.484
